1648431653864,1234,1648429262000,37.268324,-122.232017,176.3,9.4,0,0,39611,42,1,0
1648431654190,1234,1648429382000,37.2683,-122.232035,187.6,39.4,0,0,39614,42,1,0
1648431654439,1234,1648429431000,37.268278,-122.23203,179.9,34.2,0,0,39616,42,1,0
1648431654656,1234,1648429489000,37.267179,-122.233641,250.1,17.5,0,0,39804,42,1,0
1648431654996,1234,1648429550000,37.267178,-122.233643,250.2,35.1,0,0,39804,42,1,0
1648431655242,1234,1648429318000,37.26831,-122.232036,186.6,23.5,0,0,39613,42,1,0
1648431655510,1234,1648429601000,37.267121,-122.233576,269.5,35.4,0,0,39813,42,1,0
1648431656169,1234,1648429669000,37.265868,-122.233626,218.7,23,279,0.18,39952,42,1,0
1648431656480,1234,1648429736000,37.264901,-122.233408,193.1,22.1,154,2.41,40062,42,1,0
1648431656722,1234,1648429799000,37.264855,-122.232636,184.2,36.2,81,0.51,40130,42,1,0
1648431657006,1234,1648429859000,37.264309,-122.2325,186,20.4,117,1.65,40192,42,1,0
1648431657395,1234,1648429918000,37.264013,-122.231729,132.7,18.7,114,0.9,40268,42,1,0
1648431657743,1234,1648429964000,37.26407,-122.231159,141.4,34.3,0,0,40318,42,1,0
1648431658171,1234,1648430007000,37.263928,-122.230638,150.9,7,140,0.77,40367,42,1,0
1648431658946,1234,1648430061000,37.263603,-122.230192,140.2,10.4,94,0.51,40421,42,1,0
1648431660205,1234,1648430116000,37.263521,-122.230165,137.6,15.8,0,0,40430,42,1,0
1648431660818,1234,1648430168000,37.263504,-122.230099,128.4,14.1,0,0,40436,42,1,0
1648431663076,1234,1648430225000,37.263513,-122.229053,113.7,13.2,0,0,40529,42,1,0
1648431664212,1234,1648430276000,37.263481,-122.22899,117.6,29.1,0,0,40536,42,1,0
1648431664702,1234,1648430332000,37.263462,-122.228935,118.1,22.1,0,0,40541,42,1,0
1648431665138,1234,1648430379000,37.262663,-122.228891,132.4,12.1,161,0.91,40630,42,1,0
1648431665475,1234,1648430435000,37.262334,-122.22938,119.3,13,168,0.96,40686,42,1,0
1648431666032,1234,1648430486000,37.262107,-122.230007,108.6,20.8,0,0,40747,42,1,0
1648431667095,1234,1648430543000,37.262141,-122.230013,111.1,39.7,0,0,40751,42,1,0
1648431672137,1234,1648430596000,37.261996,-122.23052,104.1,10.7,101,0.53,40799,42,1,0
1648431729846,1234,1648430707000,37.26226,-122.231811,39.2,23.9,326,1.13,40945,42,1,0
1648432957934,1234,1648430919000,37.261584,-122.232654,102.5,19.1,0,0,41102,42,1,0
1648432958162,1234,1648430969000,37.261609,-122.233307,96,11.2,0,0,41160,42,1,0
1648432958485,1234,1648431025000,37.261297,-122.234189,131,13.9,247,0.5,41245,42,1,0
1648432958725,1234,1648431075000,37.260917,-122.235438,160.8,14.7,0,0,41364,42,1,0
1648432959108,1234,1648431135000,37.260928,-122.234646,113.2,37.2,0,0,41434,42,1,0
1648432959282,1234,1648431184000,37.260926,-122.234658,108.6,31,0,0,41435,42,1,0
1648432959451,1234,1648431242000,37.26064,-122.235511,151.5,30.6,96,0.25,41517,42,1,0
1648432959609,1234,1648431286000,37.260139,-122.234911,78.5,9.5,0,0,41594,42,1,0
1648432959858,1234,1648431352000,37.260133,-122.234909,81.4,34.3,0,0,41594,42,1,0
1648432960337,1234,1648431391000,37.259359,-122.233779,134.4,9.4,76,0.52,41726,42,1,0
1648432960587,1234,1648431446000,37.259085,-122.233299,122.5,11,144,1.04,41779,42,1,0
1648432960906,1234,1648431497000,37.258826,-122.232749,138.3,15.5,0,0,41835,42,1,0
1648432961106,1234,1648431553000,37.258594,-122.232614,137.8,25.1,109,0.96,41864,42,1,0
1648432961516,1234,1648431602000,37.25797,-122.231671,114.3,14,124,0.94,41972,42,1,0
1648432961679,1234,1648431655000,37.257442,-122.231006,135.8,9.5,126,1,42055,42,1,0
1648432961849,1234,1648431708000,37.257266,-122.230449,129.6,10.6,162,0.92,42108,42,1,0
1648432962060,1234,1648431761000,37.256769,-122.229785,123.7,7.7,0,0,42189,42,1,0
